absence_id,etudiant_id,absence_date,absence_heures,filieres_groupe_id,filieres_nom,filieres_niveau,groupes_nom
1,7,2025-02-07,6,2,Annees Preparatoires,AP1,AP1_G2
2,8,2025-05-17,2,2,Annees Preparatoires,AP1,AP1_G2
3,9,2024-12-23,6,2,Annees Preparatoires,AP1,AP1_G2
4,10,2025-01-28,2,1,Annees Preparatoires,AP1,AP1_G1
5,10,2024-09-17,4,1,Annees Preparatoires,AP1,AP1_G1
6,10,2025-06-18,4,1,Annees Preparatoires,AP1,AP1_G1
7,10,2025-06-25,6,1,Annees Preparatoires,AP1,AP1_G1
8,11,2025-03-08,4,1,Annees Preparatoires,AP1,AP1_G1
9,11,2025-01-03,4,1,Annees Preparatoires,AP1,AP1_G1
10,11,2025-06-26,2,1,Annees Preparatoires,AP1,AP1_G1
11,11,2025-01-09,2,1,Annees Preparatoires,AP1,AP1_G1
12,11,2024-10-16,2,1,Annees Preparatoires,AP1,AP1_G1
13,13,2025-05-13,2,2,Annees Preparatoires,AP1,AP1_G2
14,13,2025-05-17,2,2,Annees Preparatoires,AP1,AP1_G2
15,13,2024-12-08,4,2,Annees Preparatoires,AP1,AP1_G2
16,13,2024-09-06,2,2,Annees Preparatoires,AP1,AP1_G2
17,14,2025-05-01,2,1,Annees Preparatoires,AP1,AP1_G1
18,14,2024-09-07,4,1,Annees Preparatoires,AP1,AP1_G1
19,15,2025-02-19,2,1,Annees Preparatoires,AP1,AP1_G1
20,16,2025-06-28,2,1,Annees Preparatoires,AP1,AP1_G1
21,16,2024-12-07,4,1,Annees Preparatoires,AP1,AP1_G1
22,20,2024-12-29,2,1,Annees Preparatoires,AP1,AP1_G1
23,23,2024-11-07,2,2,Annees Preparatoires,AP1,AP1_G2
24,23,2025-03-16,4,2,Annees Preparatoires,AP1,AP1_G2
25,27,2025-02-18,2,1,Annees Preparatoires,AP1,AP1_G1
26,27,2025-01-29,6,1,Annees Preparatoires,AP1,AP1_G1
27,28,2024-10-31,8,1,Annees Preparatoires,AP1,AP1_G1
28,28,2025-02-02,2,1,Annees Preparatoires,AP1,AP1_G1
29,31,2024-12-23,6,2,Annees Preparatoires,AP1,AP1_G2
30,35,2025-02-07,4,1,Annees Preparatoires,AP1,AP1_G1
31,37,2024-11-20,6,1,Annees Preparatoires,AP1,AP1_G1
32,38,2024-09-03,2,1,Annees Preparatoires,AP1,AP1_G1
33,39,2025-03-29,2,2,Annees Preparatoires,AP1,AP1_G2
34,40,2024-10-10,4,1,Annees Preparatoires,AP1,AP1_G1
35,40,2024-09-29,4,1,Annees Preparatoires,AP1,AP1_G1
36,41,2025-03-10,2,1,Annees Preparatoires,AP1,AP1_G1
37,41,2025-06-12,4,1,Annees Preparatoires,AP1,AP1_G1
38,41,2025-05-04,4,1,Annees Preparatoires,AP1,AP1_G1
39,42,2024-10-01,2,1,Annees Preparatoires,AP1,AP1_G1
40,43,2024-11-28,4,2,Annees Preparatoires,AP1,AP1_G2
41,47,2024-12-25,2,1,Annees Preparatoires,AP1,AP1_G1
42,47,2025-02-24,2,1,Annees Preparatoires,AP1,AP1_G1
43,47,2024-11-01,4,1,Annees Preparatoires,AP1,AP1_G1
44,47,2025-06-18,2,1,Annees Preparatoires,AP1,AP1_G1
45,53,2024-11-04,6,2,Annees Preparatoires,AP1,AP1_G2
46,57,2025-01-14,6,1,Annees Preparatoires,AP1,AP1_G1
47,58,2025-06-08,2,2,Annees Preparatoires,AP1,AP1_G2
48,58,2025-03-15,2,2,Annees Preparatoires,AP1,AP1_G2
49,58,2025-04-08,6,2,Annees Preparatoires,AP1,AP1_G2
50,58,2024-12-07,2,2,Annees Preparatoires,AP1,AP1_G2
51,58,2025-03-13,2,2,Annees Preparatoires,AP1,AP1_G2
52,58,2024-09-02,2,2,Annees Preparatoires,AP1,AP1_G2
