heure_id,enseignant_id,filieres_code,heure_valeur,semestre
1,217,CYBER,70,S1
2,229,ELECTRO,70,S3
3,204,ENERGIE,56,S2
4,220,AP,69,S5
5,209,INFO,12,S4
6,217,TELECOM,23,S5
7,208,ELECTRO,36,S4
8,204,ELECTRO,25,S3
9,214,ELECTRO,48,S4
10,208,ELECTRO,36,S5
11,210,AP,52,S5
12,229,TELECOM,34,S5
13,226,ENERGIE,56,S4
14,201,INFO,28,S2
15,221,TELECOM,31,S1
16,223,ELECTRO,13,S2
17,205,AP,55,S4
18,225,INDUS,50,S3
19,219,ENERGIE,12,S5
20,216,AP,33,S2
21,229,TELECOM,28,S6
22,206,TELECOM,34,S1
23,215,INFO,35,S2
24,229,ENERGIE,44,S1
25,202,TELECOM,57,S2
26,208,INFO,54,S6
27,212,TELECOM,49,S2
28,208,ELECTRO,42,S6
29,207,INDUS,12,S4
30,224,ENERGIE,30,S5
31,206,INFO,34,S6
32,227,ENERGIE,54,S6
33,205,INFO,68,S5
34,220,TELECOM,23,S6
35,201,TELECOM,31,S5
36,219,CYBER,31,S5
37,226,CYBER,35,S5
38,217,INFO,58,S6
39,201,CYBER,51,S3
40,229,INFO,22,S5
41,225,ENERGIE,32,S6
42,221,CYBER,58,S5
43,221,INDUS,34,S4
44,211,ENERGIE,12,S3
45,207,ENERGIE,30,S4
46,215,CYBER,39,S2
47,215,ENERGIE,47,S2
48,222,ENERGIE,21,S2
49,228,INDUS,24,S1
50,226,INDUS,64,S5
51,205,AP,50,S1
52,225,ENERGIE,46,S4
53,219,INFO,23,S1
54,202,INDUS,68,S6
55,218,ELECTRO,58,S2
56,207,ENERGIE,65,S5
57,206,ELECTRO,43,S3
58,208,INDUS,59,S1
59,217,INDUS,61,S1
60,225,ENERGIE,27,S3
61,201,CYBER,18,S2
62,220,INFO,41,S4
63,219,INDUS,29,S4
64,202,AP,34,S5
65,202,INFO,43,S4
66,202,ENERGIE,23,S2
67,223,INFO,17,S2
68,207,ENERGIE,65,S2
69,215,INDUS,39,S4
70,219,INFO,54,S6
71,218,INFO,40,S2
72,226,CYBER,42,S4
73,219,INFO,12,S1
74,217,ENERGIE,56,S2
75,222,TELECOM,71,S1
76,202,AP,46,S4
77,209,INFO,27,S2
78,216,INFO,47,S2
79,214,ENERGIE,43,S5
80,226,ENERGIE,34,S4
81,219,TELECOM,72,S4
82,223,INFO,32,S1
83,218,INDUS,21,S2
84,215,INDUS,48,S3
85,224,INDUS,54,S2
86,226,CYBER,17,S3
87,202,AP,50,S3
88,219,INDUS,41,S6
89,220,ELECTRO,12,S1
90,206,AP,15,S2
91,224,INDUS,32,S4
92,221,INDUS,15,S1
93,222,AP,31,S1
94,227,ENERGIE,55,S4
95,225,TELECOM,17,S6
96,221,ENERGIE,25,S4
97,213,ELECTRO,61,S4
98,207,CYBER,49,S6
99,204,CYBER,24,S5
100,211,INFO,34,S6
101,211,TELECOM,62,S1
102,221,TELECOM,43,S1
103,224,ENERGIE,17,S2
104,226,INFO,38,S1
