note_id,etudiant_id,matiere,notes
1,1,Mathématiques Fondamentales,1.76
2,1,Algèbre Linéaire,11.13
3,1,Analyse 1,13.85
4,1,Physique Mécanique,8.78
5,1,Chimie Générale,19.29
6,1,Algorithmique 1,13.66
7,1,Bureautique,18.0
8,1,Langue Anglaise 1,14.05
9,1,Expression Communication,15.04
10,1,Initiation à l'Informatique,14.53
11,2,Mathématiques Fondamentales,15.77
12,2,Algèbre Linéaire,11.97
13,2,Analyse 1,6.15
14,2,Physique Mécanique,12.12
15,2,Chimie Générale,15.42
16,2,Algorithmique 1,10.3
17,2,Bureautique,14.67
18,2,Langue Anglaise 1,14.9
19,2,Expression Communication,14.69
20,2,Initiation à l'Informatique,19.78
21,3,Mathématiques Fondamentales,15.87
22,3,Algèbre Linéaire,10.47
23,3,Analyse 1,18.04
24,3,Physique Mécanique,7.64
25,3,Chimie Générale,10.73
26,3,Algorithmique 1,9.91
27,3,Bureautique,8.33
28,3,Langue Anglaise 1,11.71
29,3,Expression Communication,14.97
30,3,Initiation à l'Informatique,11.06
31,4,Mathématiques Fondamentales,13.79
32,4,Algèbre Linéaire,9.11
33,4,Analyse 1,10.1
34,4,Physique Mécanique,11.12
35,4,Chimie Générale,12.27
36,4,Algorithmique 1,7.92
37,4,Bureautique,12.98
38,4,Langue Anglaise 1,15.9
39,4,Expression Communication,15.58
40,4,Initiation à l'Informatique,18.1
41,5,Mathématiques Fondamentales,8.98
42,5,Algèbre Linéaire,11.88
43,5,Analyse 1,10.07
44,5,Physique Mécanique,13.1
45,5,Chimie Générale,20.0
46,5,Algorithmique 1,15.54
47,5,Bureautique,19.09
48,5,Langue Anglaise 1,11.78
49,5,Expression Communication,11.28
50,5,Initiation à l'Informatique,13.1
51,6,Mathématiques Fondamentales,13.32
52,6,Algèbre Linéaire,9.46
53,6,Analyse 1,15.76
54,6,Physique Mécanique,7.76
55,6,Chimie Générale,6.42
56,6,Algorithmique 1,14.65
57,6,Bureautique,11.75
58,6,Langue Anglaise 1,13.01
59,6,Expression Communication,12.88
60,6,Initiation à l'Informatique,10.58
61,7,Mathématiques Fondamentales,9.59
62,7,Algèbre Linéaire,10.15
63,7,Analyse 1,13.69
64,7,Physique Mécanique,14.2
65,7,Chimie Générale,14.33
66,7,Algorithmique 1,11.36
67,7,Bureautique,9.69
68,7,Langue Anglaise 1,10.96
69,7,Expression Communication,12.28
70,7,Initiation à l'Informatique,17.75
71,8,Mathématiques Fondamentales,11.58
72,8,Algèbre Linéaire,19.4
73,8,Analyse 1,5.7
74,8,Physique Mécanique,14.96
75,8,Chimie Générale,13.31
76,8,Algorithmique 1,13.96
77,8,Bureautique,11.35
78,8,Langue Anglaise 1,15.55
79,8,Expression Communication,12.82
80,8,Initiation à l'Informatique,19.54
81,9,Mathématiques Fondamentales,8.56
82,9,Algèbre Linéaire,15.73
83,9,Analyse 1,15.86
84,9,Physique Mécanique,14.05
85,9,Chimie Générale,8.79
86,9,Algorithmique 1,5.79
87,9,Bureautique,12.16
88,9,Langue Anglaise 1,14.52
89,9,Expression Communication,10.7
90,9,Initiation à l'Informatique,11.12
91,10,Mathématiques Fondamentales,17.24
92,10,Algèbre Linéaire,15.3
93,10,Analyse 1,10.34
94,10,Physique Mécanique,13.04
95,10,Chimie Générale,5.45
96,10,Algorithmique 1,16.67
97,10,Bureautique,12.23
98,10,Langue Anglaise 1,13.29
99,10,Expression Communication,16.03
100,10,Initiation à l'Informatique,8.93
101,11,Mathématiques Fondamentales,9.5
102,11,Algèbre Linéaire,12.03
103,11,Analyse 1,14.11
104,11,Physique Mécanique,8.24
105,11,Chimie Générale,9.01
106,11,Algorithmique 1,12.34
107,11,Bureautique,16.3
108,11,Langue Anglaise 1,17.45
109,11,Expression Communication,12.9
110,11,Initiation à l'Informatique,16.56
111,12,Mathématiques Fondamentales,16.67
112,12,Algèbre Linéaire,16.29
113,12,Analyse 1,14.73
114,12,Physique Mécanique,15.95
115,12,Chimie Générale,13.16
116,12,Algorithmique 1,11.35
117,12,Bureautique,14.46
118,12,Langue Anglaise 1,16.06
119,12,Expression Communication,13.15
120,12,Initiation à l'Informatique,10.79
121,13,Mathématiques Fondamentales,12.0
122,13,Algèbre Linéaire,8.9
123,13,Analyse 1,12.42
124,13,Physique Mécanique,10.18
125,13,Chimie Générale,14.79
126,13,Algorithmique 1,7.47
127,13,Bureautique,15.68
128,13,Langue Anglaise 1,12.68
129,13,Expression Communication,13.49
130,13,Initiation à l'Informatique,13.21
131,14,Mathématiques Fondamentales,12.29
132,14,Algèbre Linéaire,8.81
133,14,Analyse 1,12.06
134,14,Physique Mécanique,12.05
135,14,Chimie Générale,11.18
136,14,Algorithmique 1,12.72
137,14,Bureautique,11.53
138,14,Langue Anglaise 1,10.99
139,14,Expression Communication,13.64
140,14,Initiation à l'Informatique,10.37
141,15,Mathématiques Fondamentales,16.92
142,15,Algèbre Linéaire,6.02
143,15,Analyse 1,10.62
144,15,Physique Mécanique,9.62
145,15,Chimie Générale,11.02
146,15,Algorithmique 1,17.07
147,15,Bureautique,20.0
148,15,Langue Anglaise 1,14.21
149,15,Expression Communication,12.85
150,15,Initiation à l'Informatique,11.82
151,16,Mathématiques Fondamentales,9.05
152,16,Algèbre Linéaire,15.78
153,16,Analyse 1,11.29
154,16,Physique Mécanique,10.91
155,16,Chimie Générale,9.87
156,16,Algorithmique 1,12.49
157,16,Bureautique,9.22
158,16,Langue Anglaise 1,16.36
159,16,Expression Communication,13.6
160,16,Initiation à l'Informatique,13.63
161,17,Mathématiques Fondamentales,11.21
162,17,Algèbre Linéaire,17.31
163,17,Analyse 1,13.19
164,17,Physique Mécanique,11.49
165,17,Chimie Générale,19.12
166,17,Algorithmique 1,16.32
167,17,Bureautique,10.67
168,17,Langue Anglaise 1,15.2
169,17,Expression Communication,14.38
170,17,Initiation à l'Informatique,16.7
171,18,Mathématiques Fondamentales,16.69
172,18,Algèbre Linéaire,14.33
173,18,Analyse 1,14.95
174,18,Physique Mécanique,8.6
175,18,Chimie Générale,15.25
176,18,Algorithmique 1,14.19
177,18,Bureautique,17.81
178,18,Langue Anglaise 1,12.74
179,18,Expression Communication,11.15
180,18,Initiation à l'Informatique,15.62
181,19,Mathématiques Fondamentales,12.07
182,19,Algèbre Linéaire,11.6
183,19,Analyse 1,10.86
184,19,Physique Mécanique,11.77
185,19,Chimie Générale,12.83
186,19,Algorithmique 1,12.97
187,19,Bureautique,17.62
188,19,Langue Anglaise 1,15.43
189,19,Expression Communication,13.72
190,19,Initiation à l'Informatique,13.59
191,20,Mathématiques Fondamentales,10.52
192,20,Algèbre Linéaire,13.81
193,20,Analyse 1,11.88
194,20,Physique Mécanique,8.69
195,20,Chimie Générale,13.41
196,20,Algorithmique 1,16.61
197,20,Bureautique,10.09
198,20,Langue Anglaise 1,15.0
199,20,Expression Communication,14.99
200,20,Initiation à l'Informatique,14.15
201,21,Mathématiques Fondamentales,5.78
202,21,Algèbre Linéaire,9.44
203,21,Analyse 1,14.36
204,21,Physique Mécanique,7.88
205,21,Chimie Générale,11.09
206,21,Algorithmique 1,13.31
207,21,Bureautique,13.58
208,21,Langue Anglaise 1,18.01
209,21,Expression Communication,15.02
210,21,Initiation à l'Informatique,12.93
211,22,Mathématiques Fondamentales,15.42
212,22,Algèbre Linéaire,13.44
213,22,Analyse 1,20.0
214,22,Physique Mécanique,11.28
215,22,Chimie Générale,12.77
216,22,Algorithmique 1,11.24
217,22,Bureautique,10.44
218,22,Langue Anglaise 1,16.4
219,22,Expression Communication,11.56
220,22,Initiation à l'Informatique,18.69
221,23,Mathématiques Fondamentales,4.97
222,23,Algèbre Linéaire,15.04
223,23,Analyse 1,12.56
224,23,Physique Mécanique,16.15
225,23,Chimie Générale,11.96
226,23,Algorithmique 1,11.51
227,23,Bureautique,11.65
228,23,Langue Anglaise 1,15.14
229,23,Expression Communication,11.72
230,23,Initiation à l'Informatique,13.29
231,24,Mathématiques Fondamentales,14.41
232,24,Algèbre Linéaire,9.92
233,24,Analyse 1,9.61
234,24,Physique Mécanique,20.0
235,24,Chimie Générale,12.31
236,24,Algorithmique 1,9.83
237,24,Bureautique,13.85
238,24,Langue Anglaise 1,14.08
239,24,Expression Communication,15.82
240,24,Initiation à l'Informatique,16.15
241,25,Mathématiques Fondamentales,10.83
242,25,Algèbre Linéaire,16.06
243,25,Analyse 1,17.33
244,25,Physique Mécanique,10.87
245,25,Chimie Générale,6.41
246,25,Algorithmique 1,10.08
247,25,Bureautique,12.9
248,25,Langue Anglaise 1,15.91
249,25,Expression Communication,12.55
250,25,Initiation à l'Informatique,8.66
251,26,Mathématiques Fondamentales,8.08
252,26,Algèbre Linéaire,11.16
253,26,Analyse 1,8.87
254,26,Physique Mécanique,20.0
255,26,Chimie Générale,14.5
256,26,Algorithmique 1,12.07
257,26,Bureautique,8.12
258,26,Langue Anglaise 1,11.5
259,26,Expression Communication,10.8
260,26,Initiation à l'Informatique,10.12
261,27,Mathématiques Fondamentales,9.03
262,27,Algèbre Linéaire,14.94
263,27,Analyse 1,12.21
264,27,Physique Mécanique,7.23
265,27,Chimie Générale,11.69
266,27,Algorithmique 1,19.5
267,27,Bureautique,10.4
268,27,Langue Anglaise 1,13.15
269,27,Expression Communication,11.31
270,27,Initiation à l'Informatique,16.28
271,28,Mathématiques Fondamentales,13.46
272,28,Algèbre Linéaire,13.22
273,28,Analyse 1,15.09
274,28,Physique Mécanique,13.19
275,28,Chimie Générale,12.58
276,28,Algorithmique 1,10.54
277,28,Bureautique,12.48
278,28,Langue Anglaise 1,12.96
279,28,Expression Communication,15.15
280,28,Initiation à l'Informatique,9.08
281,29,Mathématiques Fondamentales,13.58
282,29,Algèbre Linéaire,12.15
283,29,Analyse 1,5.44
284,29,Physique Mécanique,10.72
285,29,Chimie Générale,16.22
286,29,Algorithmique 1,12.03
287,29,Bureautique,9.31
288,29,Langue Anglaise 1,13.63
289,29,Expression Communication,14.78
290,29,Initiation à l'Informatique,10.53
291,30,Mathématiques Fondamentales,14.64
292,30,Algèbre Linéaire,11.2
293,30,Analyse 1,10.03
294,30,Physique Mécanique,14.95
295,30,Chimie Générale,12.02
296,30,Algorithmique 1,17.06
297,30,Bureautique,18.78
298,30,Langue Anglaise 1,7.5
299,30,Expression Communication,9.97
300,30,Initiation à l'Informatique,14.89
301,31,Mathématiques Fondamentales,12.46
302,31,Algèbre Linéaire,17.91
303,31,Analyse 1,16.8
304,31,Physique Mécanique,10.32
305,31,Chimie Générale,17.85
306,31,Algorithmique 1,17.14
307,31,Bureautique,15.21
308,31,Langue Anglaise 1,15.73
309,31,Expression Communication,13.98
310,31,Initiation à l'Informatique,11.71
311,32,Mathématiques Fondamentales,13.92
312,32,Algèbre Linéaire,17.2
313,32,Analyse 1,12.36
314,32,Physique Mécanique,9.97
315,32,Chimie Générale,11.39
316,32,Algorithmique 1,13.23
317,32,Bureautique,15.47
318,32,Langue Anglaise 1,12.54
319,32,Expression Communication,15.47
320,32,Initiation à l'Informatique,11.38
321,33,Mathématiques Fondamentales,11.56
322,33,Algèbre Linéaire,11.44
