stage_id,etudiant_id,entreprise_id,stage_ann,stage_type
1,2001,24,2025,PP
2,2002,51,2025,PP
3,2003,4,2025,PP
4,2004,51,2025,PP
5,2005,5,2025,PP
6,2006,5,2025,PP
7,2007,43,2025,PP
8,2008,51,2025,PP
9,2009,4,2025,PP
10,2010,31,2025,PP
11,2011,4,2025,PP
12,2012,31,2025,PP
13,2013,4,2025,PP
14,2014,31,2025,PP
15,2015,51,2025,PP
16,2016,51,2025,PP
17,2017,31,2025,PP
18,2018,2,2025,PP
19,2019,51,2025,PP
20,2020,4,2025,PP
21,2021,51,2025,PP
22,2022,29,2025,PP
23,2023,29,2025,PP
24,2024,47,2025,PP
25,2025,42,2025,PP
26,2026,33,2025,PP
27,2027,31,2025,PP
28,2028,12,2025,PP
29,2029,51,2025,PP
30,2030,24,2025,PP
31,2031,31,2025,PP
32,2032,51,2025,PP
33,2033,7,2025,PP
34,2034,24,2025,PP
35,2035,51,2025,PP
36,2036,51,2025,PP
37,2037,4,2025,PP
38,2038,31,2025,PP
39,2039,51,2025,PP
40,2040,36,2025,PP
41,2041,45,2025,PP
42,2042,51,2025,PP
43,2043,4,2025,PP
44,2044,51,2025,PP
45,2045,51,2025,PP
46,2046,31,2025,PP
47,2047,31,2025,PP
48,2048,34,2025,PP
49,2049,4,2025,PP
50,2050,14,2025,PP
51,2051,31,2025,PP
52,2052,51,2025,PP
53,2053,50,2025,PP
54,2054,8,2025,PP
55,2055,12,2025,PP
56,2056,51,2025,PP
57,2057,51,2025,PP
58,2058,8,2025,PP
59,2059,31,2025,PP
60,2060,19,2025,PP
61,2061,19,2025,PP
62,2062,51,2025,PP
63,2063,51,2025,PP
64,2064,51,2025,PP
65,2065,31,2025,PP
66,2066,51,2025,PP
67,2067,13,2025,PP
68,2068,51,2025,PP
69,2069,17,2025,PP
70,2070,4,2025,PP
71,2071,4,2025,PP
72,2072,50,2025,PP
73,2073,51,2025,PP
74,2074,16,2025,PP
75,2075,51,2025,PP
76,2076,4,2025,PP
77,2077,4,2025,PP
78,2078,51,2025,PP
79,2079,13,2025,PP
80,2080,27,2025,PP
81,2081,4,2025,PP
82,2082,51,2025,PP
83,2083,51,2025,PP
84,2084,31,2025,PP
85,2085,48,2025,PP
86,2086,47,2025,PP
87,2087,4,2025,PP
88,2088,4,2025,PP
89,2089,51,2025,PP
90,2090,31,2025,PP
91,2091,6,2025,PP
92,2092,51,2025,PP
93,2093,31,2025,PP
94,2094,1,2025,PP
