heure_id,enseignant_id,filieres_code,heure_valeur,semestre
1,203,INFO,45,S1
2,224,TELECOM,48,S3
3,228,ELECTRO,61,S2
4,201,AP1,42,S3
5,207,ENERGIE,52,S4
6,206,CYBERSECURITE,42,S2
7,227,AP1,72,S1
8,209,TELECOM,67,S4
9,228,AP2,64,S4
10,224,AP1,35,S2
11,220,INFO,68,S6
12,219,INDUS,47,S6
13,204,INDUS,53,S4
14,222,AP2,72,S3
15,211,AP2,40,S1
16,208,ELECTRO,56,S3
17,219,AP1,36,S3
18,217,AP2,14,S4
19,204,ELECTRO,44,S6
20,225,INFO,33,S6
21,208,INDUS,29,S4
22,225,INDUS,64,S6
23,205,TELECOM,47,S5
24,213,AP2,24,S1
25,212,CYBERSECURITE,56,S6
26,206,ELECTRO,47,S4
27,203,INDUS,71,S1
28,229,ELECTRO,44,S1
29,226,INDUS,24,S5
30,223,CYBERSECURITE,40,S6
31,219,CYBERSECURITE,29,S5
32,226,AP2,50,S3
33,221,CYBERSECURITE,45,S2
34,208,ELECTRO,33,S6
35,205,CYBERSECURITE,65,S5
36,214,AP2,60,S2
37,207,AP1,69,S2
38,214,INFO,48,S1
39,228,INDUS,63,S6
40,206,AP1,25,S3
41,209,CYBERSECURITE,21,S2
42,201,INFO,42,S5
43,215,CYBERSECURITE,37,S2
44,213,INFO,26,S5
45,220,CYBERSECURITE,15,S5
46,208,ENERGIE,59,S5
47,202,ELECTRO,71,S6
48,224,AP1,24,S1
49,204,ENERGIE,26,S6
50,216,CYBERSECURITE,51,S1
51,209,INDUS,33,S4
52,204,TELECOM,16,S5
53,220,ENERGIE,55,S1
54,228,ELECTRO,19,S1
55,227,INFO,68,S1
56,218,ELECTRO,12,S2
57,214,CYBERSECURITE,15,S2
58,216,CYBERSECURITE,71,S3
59,224,AP1,15,S2
60,218,AP1,52,S4
61,225,INDUS,31,S5
62,201,INFO,55,S4
63,203,ELECTRO,38,S6
64,228,INFO,32,S1
65,213,ELECTRO,22,S2
66,208,ELECTRO,59,S4
67,215,AP1,23,S3
68,201,TELECOM,72,S5
69,223,AP2,38,S1
70,207,INFO,25,S1
71,203,AP2,51,S1
72,209,ELECTRO,31,S3
73,202,INDUS,43,S3
74,215,AP1,32,S2
75,207,ENERGIE,65,S1
76,214,INDUS,56,S5
77,225,CYBERSECURITE,27,S1
78,223,CYBERSECURITE,23,S1
79,221,AP2,15,S6
80,221,ELECTRO,41,S1
81,222,INFO,15,S4
82,223,INFO,70,S4
83,213,INFO,56,S3
84,218,AP2,20,S3
85,209,INDUS,51,S4
86,205,ENERGIE,67,S4
87,210,AP1,18,S2
88,204,AP1,56,S3
89,211,INDUS,68,S5
90,217,CYBERSECURITE,57,S5
91,202,ELECTRO,32,S2
92,216,AP1,31,S5
93,213,INDUS,38,S5
94,220,ENERGIE,64,S5
95,207,ENERGIE,62,S5
96,213,AP2,21,S2
97,221,AP2,67,S4
98,208,INDUS,57,S2
99,203,ENERGIE,35,S2
100,225,TELECOM,14,S6
101,208,AP2,57,S5
102,219,AP1,38,S1
103,229,ENERGIE,58,S5
104,216,CYBERSECURITE,53,S6
105,229,TELECOM,32,S2
106,202,INDUS,44,S2
107,202,INFO,27,S4
108,201,ELECTRO,30,S4
109,221,AP2,12,S6
110,226,AP2,59,S4
111,213,TELECOM,60,S2
112,212,AP1,47,S1
113,225,CYBERSECURITE,70,S1
114,203,ENERGIE,56,S6
115,228,AP1,62,S2
116,211,AP2,70,S6
117,205,ENERGIE,69,S4
118,222,AP1,13,S6
119,222,INFO,14,S4
120,206,ENERGIE,22,S1
121,205,AP1,72,S6
122,215,AP1,22,S4
123,206,TELECOM,30,S2
124,209,ENERGIE,62,S1
125,217,CYBERSECURITE,36,S4
126,221,TELECOM,62,S5
127,224,INFO,31,S6
128,215,TELECOM,68,S1
129,227,INFO,29,S5
130,214,TELECOM,57,S5
131,227,AP2,70,S5
132,227,INDUS,63,S3
133,205,CYBERSECURITE,50,S1
134,202,ENERGIE,61,S3
135,215,TELECOM,64,S4
136,219,AP2,49,S2
137,228,ELECTRO,19,S6
138,214,INFO,67,S4
139,229,ELECTRO,60,S5
140,219,ENERGIE,28,S4
141,206,INFO,51,S5
142,204,INDUS,40,S2
143,216,AP1,25,S4
144,217,INFO,18,S6
145,212,AP1,36,S6
146,229,CYBERSECURITE,45,S2
147,222,AP1,59,S3
148,226,AP2,44,S3
149,220,TELECOM,52,S3
150,221,ENERGIE,50,S1
151,217,CYBERSECURITE,40,S3
152,201,CYBERSECURITE,62,S4
153,218,INFO,14,S2
154,223,AP2,57,S3
155,226,ENERGIE,68,S6
156,218,INFO,46,S4
157,225,AP1,45,S3
158,208,AP1,16,S4
159,225,INFO,43,S6
160,213,TELECOM,58,S6
161,216,CYBERSECURITE,65,S5
162,227,ELECTRO,58,S1
163,218,ELECTRO,47,S4
164,201,INDUS,61,S4
165,208,AP1,12,S6
166,222,TELECOM,52,S1
167,201,AP1,68,S4
168,206,ENERGIE,34,S4
169,221,TELECOM,38,S3
170,223,ENERGIE,65,S2
171,214,ELECTRO,64,S3
172,215,INDUS,51,S2
173,224,INDUS,17,S3
174,217,TELECOM,69,S5
175,204,AP2,23,S2
176,218,ELECTRO,21,S1
177,215,ENERGIE,41,S4
